original,v2,v3,v4,v5,v6
-0.615208879,-0.018500778,0.24168353,0.469210917,0.118455859,-0.571090396
-1.387363671,-0.617983338,-0.018611879,0.240515999,0.466817811,0.1179718
0.527265048,-1.391000325,-0.618080092,-0.019723045,0.237215615,0.466463025
0.519385918,0.525766284,-1.391078577,-0.61906145,-0.024055848,0.236775627
0.448473743,0.517878356,0.525642157,-1.391892551,-0.625771947,-0.024592792
0.416957221,0.446887,0.517754417,0.524413139,-1.401669021,-0.626532182
0.692726789,0.415335286,0.44676476,0.516527107,0.52223903,-1.402717184
-0.709758445,0.691412781,0.415213802,0.445552822,0.514321713,0.521904811
-1.418880193,-0.71263848,0.691284689,0.414008696,0.44306586,0.513984556
0.724243311,-1.422552038,-0.712732967,0.690019803,0.411396591,0.44270226
0.85818853,0.722964495,-1.422629535,-0.71369383,0.688502689,0.41102124
0.621814615,0.857059278,0.722835648,-1.423436678,-0.720779751,0.688230169
1.220628535,0.620421425,0.856927222,0.72156393,-1.433338289,-0.721575243
0.944858966,1.219903986,0.620295033,0.855626468,0.720171957,-1.434398204
-0.079428003,0.943826491,1.219763245,0.619045518,0.854766348,0.719911189
-1.308572366,-0.081604205,0.943692358,1.218383923,0.617246835,0.854555527
1.401848537,-1.31212104,-0.081713796,0.942372816,1.218962934,0.616947873
1.401848537,1.40132634,-1.31220118,-0.082811298,0.941856836,1.218887262
1.220628535,1.40132634,1.401181257,-1.313032235,-0.087394385,0.941678333
1.559431148,1.219903986,1.401181257,1.399762651,-1.32249585,-0.087954833
1.29154071,1.559084909,1.219763245,1.399762651,1.401061227,-1.323514632
0.10967113,1.290895342,1.55893605,1.218383923,1.401061227,1.40105313
-1.442517585,0.107706077,1.290752902,1.557483284,1.218962934,1.40105313
1.29154071,-1.446215824,0.107591956,1.289358208,1.559407568,1.218887262
1.504277234,1.290895342,-1.446292754,0.106453462,1.290218787,1.559458232
0.944858966,1.50386941,1.290752902,-1.447094773,0.102621225,1.290169558
0.818792878,0.943826491,1.503721873,1.289358208,-1.45709024,0.10213129
1.386090276,0.817619636,0.943692358,1.502281063,1.290218787,-1.458158969
-0.276406266,1.385550483,0.817488524,0.942372816,1.503986349,1.290169558
-1.52918802,-0.278802416,1.385405778,0.81619631,0.941856836,1.504016447
1.843079847,-1.532983036,-0.278907287,1.383990588,0.815179762,0.941678333
1.969145935,1.843050332,-1.53305789,-0.279962089,1.385226592,0.814954251
1.843079847,1.969257187,1.842894677,-1.533841121,-0.285327312,1.38521262
1.457002451,1.843050332,1.969098512,1.841380423,-1.544180728,-0.285961211
1.283661579,1.456541839,1.842894677,1.96755693,1.844430983,-1.545281776
-0.103065394,1.283007414,1.456395435,1.841380423,1.971108056,1.844587417
-1.560704543,-0.10526799,1.282865163,1.454964873,1.844430983,1.971311499
